Life_Expectancy,Mean_Years_Schooling,Expected_Years_Schooling,GNI_per_Capita,HDI_Score,HDI_Category
68.87,0.0,6.41,9317.0,0.451,Low
66.44,10.03,15.59,30570.18,0.7797,High
79.68,6.04,10.97,10787.15,0.69,Medium
70.54,2.51,9.55,4689.48,0.5403,Low
71.38,9.53,11.64,26639.92,0.7533,High
63.88,12.12,19.62,7965.45,0.751,High
63.12,7.59,13.45,16756.42,0.6851,Medium
63.67,10.86,14.39,6140.06,0.6827,Medium
71.94,12.84,19.11,5167.65,0.77,High
63.79,11.94,13.73,10766.21,0.7187,High
70.9,12.92,15.27,10024.91,0.7752,High
85.0,10.23,13.01,15991.73,0.8135,Very High
76.71,8.23,11.17,7565.5,0.6933,Medium
64.74,3.19,5.08,1577.57,0.4141,Low
80.01,7.26,13.71,6420.34,0.7124,High
63.92,5.47,8.95,21890.73,0.6189,Medium
47.62,14.51,19.22,7351.24,0.6509,Medium
57.92,7.47,10.33,7735.82,0.59,Medium
49.29,8.37,8.73,26539.16,0.583,Medium
64.48,9.65,14.19,4856.27,0.66,Medium
68.18,8.13,8.31,2115.82,0.5556,Medium
84.76,13.09,16.95,8428.46,0.8459,Very High
71.27,6.13,7.4,6098.67,0.5855,Medium
65.81,8.58,16.56,3765.94,0.6605,Medium
76.29,5.77,11.6,8305.07,0.6675,Medium
45.89,4.04,8.25,16179.59,0.4811,Low
70.36,6.16,12.69,9805.62,0.669,Medium
75.71,7.89,10.2,13453.32,0.7025,High
53.21,6.71,11.8,60682.32,0.6485,Medium
79.44,5.92,10.32,7024.23,0.6576,Medium
71.38,3.78,8.31,13073.58,0.5922,Medium
63.85,7.75,14.3,5947.86,0.6486,Medium
74.33,3.49,8.95,4245.61,0.5568,Medium
85.0,10.28,14.86,5514.26,0.7706,High
69.82,8.25,8.94,6131.79,0.6294,Medium
70.48,3.63,5.71,14178.41,0.5456,Low
63.41,7.07,10.83,90000.0,0.7102,High
59.5,5.74,9.93,4836.55,0.55,Medium
76.3,8.96,10.7,6524.86,0.688,Medium
59.44,12.02,20.0,9291.7,0.7351,High
68.72,2.37,9.41,14702.88,0.5773,Medium
63.22,8.35,13.55,12881.54,0.6836,Medium
72.79,7.52,11.66,35742.5,0.7456,High
71.34,10.01,13.59,874.46,0.5688,Medium
78.38,8.64,10.74,909.66,0.56,Medium
62.9,5.74,9.9,6027.71,0.5755,Medium
65.3,7.04,11.56,29652.45,0.6932,Medium
58.21,5.61,7.13,2068.03,0.4696,Low
63.56,11.23,15.9,500.0,0.5103,Low
71.77,8.06,11.75,17521.42,0.7179,High
75.57,13.7,13.89,12627.82,0.8075,Very High
58.78,7.82,10.1,3326.88,0.5549,Medium
76.7,5.87,9.05,3693.98,0.5969,Medium
81.56,3.46,11.23,3752.8,0.6052,Medium
72.13,2.59,7.7,11053.86,0.5553,Medium
85.0,3.25,4.58,5290.59,0.5206,Low
60.26,8.8,13.77,16221.03,0.6853,Medium
55.55,9.53,10.43,569.85,0.4436,Low
50.21,3.26,9.42,4201.3,0.4597,Low
82.96,10.69,13.74,3209.74,0.7208,High
74.54,6.55,10.36,7659.17,0.653,Medium
67.44,8.44,15.09,5778.81,0.6792,Medium
70.8,12.84,14.26,21979.02,0.8065,Very High
56.75,10.69,11.9,1541.73,0.5434,Low
85.0,7.19,10.03,10357.76,0.7136,High
69.29,5.33,11.4,17297.83,0.6633,Medium
69.09,1.54,2.51,63363.76,0.4467,Low
75.26,5.84,4.18,6113.37,0.5476,Low
72.81,7.37,10.46,13690.52,0.6866,Medium
70.24,5.04,10.14,1629.68,0.5272,Low
60.1,7.61,14.01,905.1,0.509,Low
72.71,8.23,11.3,23035.1,0.7319,High
85.0,7.33,10.5,9842.25,0.7189,High
81.45,6.05,12.36,32161.09,0.7659,High
83.93,8.51,8.77,2506.39,0.6318,Medium
62.89,9.33,12.55,16645.62,0.6953,Medium
58.1,4.73,9.11,64139.64,0.6171,Medium
66.74,12.23,17.13,15058.62,0.7837,High
68.56,7.7,10.68,13050.5,0.6726,Medium
78.94,8.06,12.13,9982.17,0.7254,High
51.08,10.12,9.15,2057.24,0.5055,Low
83.3,8.7,11.38,38390.79,0.8096,Very High
66.42,10.86,15.77,5373.0,0.7005,High
63.73,8.86,10.9,16390.93,0.6767,Medium
57.88,6.16,10.28,2073.44,0.5079,Low
51.45,9.08,13.98,3042.82,0.5567,Medium
76.23,4.57,7.88,41568.06,0.6639,Medium
68.73,8.33,12.67,6993.23,0.6715,Medium
55.1,7.9,9.97,42331.02,0.6436,Medium
55.05,7.38,10.96,9152.38,0.5872,Medium
64.64,7.61,12.83,1568.86,0.5586,Medium
84.69,2.35,6.67,24150.67,0.6014,Medium
65.4,6.35,9.18,5486.84,0.5821,Medium
52.97,8.28,12.73,19904.26,0.6344,Medium
65.54,8.48,13.91,10149.82,0.689,Medium
65.27,4.92,4.82,2115.15,0.4572,Low
41.03,11.8,18.12,11664.38,0.593,Medium
67.46,5.4,8.73,88985.0,0.6757,Medium
65.69,10.91,15.76,16203.56,0.7565,High
74.96,9.28,15.68,9343.93,0.7558,High
85.0,6.06,7.32,29008.48,0.7028,High
79.27,13.33,15.91,12218.04,0.837,Very High
65.31,4.42,7.84,12204.19,0.5695,Medium
56.93,10.76,13.19,3322.17,0.6018,Medium
85.0,11.0,18.47,12504.55,0.8626,Very High
68.59,5.99,8.27,27873.83,0.6488,Medium
68.14,12.18,15.07,4289.55,0.7025,High
67.76,7.25,11.66,41130.11,0.7229,High
69.98,8.87,10.46,9029.88,0.6743,Medium
66.56,8.78,11.99,4073.39,0.6308,Medium
62.26,7.6,12.23,26839.56,0.688,Medium
62.53,10.43,13.77,7429.44,0.6774,Medium
67.67,10.38,14.19,21152.53,0.7601,High
62.57,2.75,5.7,7392.65,0.4739,Low
60.87,11.91,12.88,9322.39,0.6877,Medium
69.06,3.01,7.66,16212.86,0.5663,Medium
65.45,11.1,18.61,13238.67,0.7706,High
83.04,11.38,15.42,1345.43,0.675,Medium
41.49,4.73,9.18,3225.22,0.4152,Low
78.92,6.77,12.15,25069.57,0.7524,High
80.46,4.68,6.14,8672.08,0.5895,Medium
47.27,7.36,14.76,5862.13,0.5529,Medium
64.57,7.08,11.48,2543.83,0.5708,Medium
64.29,10.34,17.6,3361.91,0.6706,Medium
53.92,11.93,14.46,1310.55,0.5453,Low
60.22,12.19,19.82,8943.83,0.738,High
56.89,6.31,11.86,5440.15,0.5698,Medium
85.0,7.37,12.48,3764.66,0.6873,Medium
77.36,2.95,7.42,9245.36,0.5684,Medium
80.72,5.58,9.09,14242.28,0.6744,Medium
75.22,10.89,17.3,80273.75,0.8949,Very High
56.71,12.85,17.13,2182.26,0.6195,Medium
62.75,4.3,4.36,31551.65,0.5327,Low
72.89,6.22,7.99,26189.18,0.6648,Medium
55.78,7.92,11.55,4541.02,0.5704,Medium
75.13,8.84,13.46,12127.56,0.7435,High
65.6,5.57,9.46,6262.7,0.5815,Medium
64.25,9.27,15.71,11916.61,0.7156,High
75.11,6.58,6.68,44762.72,0.6814,Medium
72.44,7.96,12.24,18135.13,0.7266,High
64.39,9.64,10.0,16458.68,0.6807,Medium
79.59,8.02,13.54,6436.18,0.7186,High
57.19,6.69,10.5,2243.84,0.5173,Low
74.16,7.67,12.51,8034.76,0.6931,Medium
73.93,7.73,10.01,33077.49,0.7304,High
64.9,6.89,13.45,2149.16,0.578,Medium
71.26,7.22,13.31,3445.8,0.6361,Medium
55.49,12.8,17.96,11229.14,0.7116,High
77.24,9.68,13.42,3697.25,0.6939,Medium
66.15,7.11,12.27,4480.44,0.6177,Medium
62.77,10.09,12.68,6479.52,0.6584,Medium
78.49,7.0,12.71,2525.98,0.6361,Medium
60.96,11.52,18.82,3736.4,0.6786,Medium
53.92,9.11,15.25,19998.81,0.6722,Medium
52.43,7.68,10.22,2677.48,0.5114,Low
74.06,9.34,14.07,2002.45,0.6418,Medium
55.2,3.29,4.7,5271.0,0.4271,Low
85.0,4.62,9.76,20577.54,0.6994,Medium
47.18,4.42,9.32,8128.07,0.4832,Low
84.96,8.43,8.69,6219.34,0.688,Medium
70.11,13.2,14.87,10346.04,0.7724,High
67.03,14.69,18.13,1727.26,0.6763,Medium
62.55,9.91,13.31,16231.44,0.7064,High
71.99,9.5,11.08,14522.22,0.7216,High
67.62,2.6,7.37,6572.78,0.513,Low
79.03,6.37,10.87,27063.05,0.7339,High
69.14,5.64,9.25,3205.12,0.5605,Medium
69.5,6.14,8.63,30574.11,0.6638,Medium
64.36,7.5,13.59,11550.61,0.6748,Medium
67.43,6.58,13.89,7068.81,0.6574,Medium
71.08,2.06,5.09,9702.38,0.4851,Low
50.9,10.24,13.02,8890.47,0.6096,Medium
54.52,4.78,9.76,33532.92,0.5857,Medium
75.43,8.72,12.0,3372.2,0.6564,Medium
69.71,14.22,17.94,4616.91,0.7551,High
66.16,5.24,10.72,27897.79,0.6584,Medium
68.18,0.41,0.59,5455.97,0.2378,Low
71.48,7.14,13.78,24355.99,0.7418,High
62.6,11.3,15.45,54145.82,0.7949,High
60.22,13.88,17.05,6622.35,0.7159,High
69.96,4.31,8.13,19562.35,0.6095,Medium
58.22,9.49,13.41,3122.25,0.5949,Medium
72.08,6.6,7.14,21051.63,0.6471,Medium
50.97,7.68,14.67,12081.42,0.6118,Medium
78.29,15.0,19.08,15883.53,0.8822,Very High
72.73,3.49,8.38,5189.68,0.5528,Medium
70.56,8.76,14.66,1879.79,0.6224,Medium
77.83,9.4,11.36,16370.76,0.7553,High
84.65,11.26,16.2,1257.14,0.6796,Medium
78.14,8.29,11.76,7205.86,0.7038,High
49.59,8.92,14.62,25366.43,0.6446,Medium
55.2,6.83,6.57,11990.83,0.5435,Low
61.75,8.81,12.61,69448.63,0.7421,High
68.26,6.97,9.76,27587.25,0.6821,Medium
73.18,9.86,14.73,5146.65,0.711,High
60.74,6.89,11.83,10171.18,0.6252,Medium
69.87,9.13,11.72,9439.23,0.6924,Medium
60.45,7.91,10.49,2034.13,0.5397,Low
61.88,11.38,15.16,3864.55,0.6578,Medium
53.93,7.85,10.05,5649.03,0.5562,Medium
58.77,2.68,8.36,1291.78,0.4201,Low
54.48,11.79,15.05,10378.52,0.6707,Medium
58.24,5.28,3.47,7715.05,0.4721,Low
78.54,6.04,9.29,1857.72,0.5673,Medium
58.51,6.21,8.14,14827.11,0.5786,Medium
85.0,12.12,12.86,20249.24,0.8484,Very High
72.93,1.59,3.12,12419.64,0.436,Low
69.85,15.0,19.22,7157.61,0.7909,High
59.42,11.17,17.83,17880.07,0.7442,High
75.0,8.67,13.3,19540.03,0.7628,High
62.24,7.84,10.62,13459.0,0.6445,Medium
69.22,8.86,13.77,4338.95,0.6636,Medium
85.0,9.56,12.65,13050.75,0.79,High
67.04,9.94,12.55,32711.46,0.7549,High
79.49,9.67,11.36,5450.0,0.7064,High
60.97,8.27,8.77,80655.26,0.6891,Medium
67.65,7.41,10.63,5851.01,0.6251,Medium
85.0,7.55,11.86,10223.12,0.7406,High
61.73,7.42,11.22,5051.87,0.5968,Medium
85.0,11.4,14.57,12372.99,0.8297,Very High
75.08,9.78,11.89,1733.29,0.6211,Medium
62.38,0.0,5.22,5732.79,0.3866,Low
74.32,9.97,11.33,3320.53,0.659,Medium
77.73,8.58,14.14,11331.46,0.7552,High
74.22,7.94,9.94,26754.22,0.7249,High
52.3,6.83,9.33,18882.79,0.5765,Medium
60.73,11.37,12.44,923.66,0.5342,Low
65.52,10.84,13.84,76272.65,0.8054,Very High
67.26,5.68,11.63,13296.82,0.6505,Medium
74.21,9.22,14.25,4552.81,0.6968,Medium
69.78,5.09,11.04,11581.08,0.6397,Medium
54.65,3.86,8.91,11803.95,0.5247,Low
71.8,6.12,7.91,5080.43,0.5852,Medium
74.11,10.59,13.93,12063.22,0.7639,High
73.6,10.86,13.3,5391.22,0.7135,High
78.81,9.54,16.2,6605.37,0.7605,High
76.34,10.18,11.78,4982.67,0.6987,Medium
72.59,9.55,15.34,2362.15,0.6601,Medium
67.3,6.08,11.86,11451.05,0.652,Medium
51.39,9.3,16.96,17770.58,0.6657,Medium
72.3,10.4,13.58,16562.29,0.7661,High
70.08,10.26,15.69,22469.75,0.7885,High
70.72,11.57,20.0,13688.9,0.8171,Very High
55.23,10.12,12.89,5809.64,0.6139,Medium
57.19,9.05,9.98,22917.68,0.6479,Medium
78.53,11.21,11.45,2546.52,0.6728,Medium
67.6,7.92,13.35,4021.17,0.6378,Medium
74.82,5.35,5.59,3773.66,0.5364,Low
68.28,7.51,10.77,29145.51,0.7046,High
68.3,5.77,10.64,25407.22,0.6718,Medium
77.38,5.97,10.34,16111.77,0.6908,Medium
62.84,7.57,12.42,28909.63,0.6958,Medium
68.96,5.62,10.07,4108.11,0.5823,Medium
63.38,7.08,13.63,14024.98,0.6741,Medium
63.66,2.32,4.41,8732.66,0.4492,Low
64.91,8.64,11.29,23083.7,0.699,Medium
70.22,8.0,10.46,8819.99,0.6629,Medium
63.21,5.55,11.21,6734.89,0.5942,Medium
80.56,9.98,15.78,16998.98,0.8229,Very High
59.05,10.81,15.72,23769.75,0.7342,High
66.13,3.18,9.54,5072.83,0.5385,Low
63.6,5.71,7.36,9310.74,0.566,Medium
82.47,5.69,13.03,3434.27,0.6567,Medium
69.97,5.18,12.23,813.98,0.4996,Low
78.32,10.49,15.96,12093.94,0.8017,Very High
53.14,7.42,14.98,18195.06,0.6431,Medium
70.67,7.21,7.89,12862.44,0.6405,Medium
76.9,1.99,4.94,1408.72,0.4144,Low
68.82,9.91,12.44,6968.47,0.6878,Medium
78.65,4.28,9.73,1076.7,0.5114,Low
62.83,8.18,10.08,38937.03,0.6897,Medium
82.09,8.83,14.35,3340.73,0.7053,High
85.0,12.08,18.82,34731.54,0.9352,Very High
64.37,4.07,9.46,25485.62,0.6107,Medium
63.54,0.0,4.57,4021.5,0.362,Low
82.53,8.55,10.58,3188.21,0.6628,Medium
83.8,13.4,15.71,14049.9,0.8651,Very High
62.77,11.72,18.22,4254.26,0.694,Medium
63.8,8.63,14.19,10965.23,0.6882,Medium
65.18,6.53,10.45,6106.89,0.603,Medium
54.56,10.42,13.59,1667.1,0.5471,Low
58.81,5.08,5.03,1063.72,0.4039,Low
57.96,9.43,11.29,12415.29,0.644,Medium
60.32,9.52,17.34,5644.53,0.6709,Medium
67.65,11.18,12.62,5692.53,0.6866,Medium
70.34,15.0,19.38,19848.11,0.8522,Very High
83.51,9.18,15.19,31998.44,0.8525,Very High
58.02,6.47,7.96,7536.06,0.5505,Medium
77.84,7.92,12.29,7040.27,0.7022,High
65.86,2.69,8.57,16319.94,0.5625,Medium
67.51,5.92,9.94,2548.0,0.5531,Medium
74.75,6.77,16.51,12371.53,0.7486,High
56.77,6.43,7.09,17186.61,0.5655,Medium
71.82,8.46,14.57,19540.22,0.7585,High
69.66,5.53,9.19,1426.88,0.5128,Low
72.92,11.36,16.91,4622.29,0.7368,High
70.89,8.0,12.88,4112.3,0.6499,Medium
85.0,7.97,10.51,10936.78,0.734,High
61.62,7.02,11.47,16006.41,0.6474,Medium
62.69,8.47,8.75,44210.18,0.6821,Medium
61.77,10.48,15.68,6033.21,0.6785,Medium
62.45,5.4,9.99,6017.5,0.5697,Medium
61.63,6.03,11.3,31246.79,0.6589,Medium
79.89,7.09,13.21,13314.07,0.7432,High
82.21,3.96,8.7,35159.55,0.6816,Medium
62.29,5.54,9.84,13209.98,0.6035,Medium
59.68,6.57,8.81,3111.57,0.5278,Low
72.71,10.62,13.2,2609.39,0.6604,Medium
62.48,8.79,15.16,2097.47,0.5986,Medium
74.33,8.58,15.45,19188.22,0.7801,High
70.03,10.55,14.08,32487.05,0.7934,High
52.84,7.59,11.68,62903.82,0.6573,Medium
83.48,9.17,11.36,22996.68,0.7929,High
85.0,7.69,14.04,31660.93,0.8253,Very High
61.87,8.8,14.13,5541.3,0.6446,Medium
64.12,6.25,14.13,3113.75,0.5962,Medium
70.86,0.68,2.93,23157.62,0.4061,Low
71.34,7.6,10.84,15028.16,0.6921,Medium
74.59,12.27,16.73,11019.75,0.8047,Very High
85.0,10.78,16.07,14579.5,0.8464,Very High
66.23,10.9,14.46,13673.1,0.7394,High
60.02,11.71,13.96,35732.53,0.7521,High
54.21,8.27,14.03,36133.86,0.6779,Medium
60.69,8.59,14.03,17055.37,0.6901,Medium
67.67,6.15,8.31,23058.8,0.6404,Medium
85.0,7.05,13.76,16548.7,0.781,High
62.82,9.85,16.19,6240.59,0.684,Medium
70.24,11.61,15.88,21090.22,0.8028,Very High
67.84,7.58,11.74,2454.07,0.5905,Medium
79.88,6.65,11.76,28392.82,0.7554,High
85.0,8.0,10.28,2997.33,0.657,Medium
62.69,9.8,13.86,13171.4,0.7012,High
63.11,3.67,3.36,4250.73,0.4327,Low
78.44,1.11,6.86,17212.46,0.542,Low
74.82,6.35,7.23,9567.0,0.6211,Medium
85.0,4.34,11.34,2008.7,0.5928,Medium
73.84,6.48,9.82,15073.59,0.6743,Medium
64.41,7.56,11.13,5552.92,0.615,Medium
73.91,6.64,9.38,23888.36,0.6915,Medium
79.09,12.36,15.78,9910.26,0.8126,Very High
76.2,8.98,15.82,14697.33,0.7838,High
73.07,8.9,7.93,3798.76,0.6144,Medium
78.67,9.87,16.42,5489.91,0.754,High
79.69,4.58,9.26,6256.41,0.6173,Medium
81.82,11.12,12.7,23311.51,0.8275,Very High
74.49,7.77,9.62,52964.5,0.7477,High
66.33,10.01,17.36,4424.13,0.6931,Medium
69.47,4.78,6.89,29052.16,0.6117,Medium
80.07,3.34,5.03,1130.4,0.4397,Low
59.83,10.45,16.73,2998.33,0.6349,Medium
71.69,9.13,13.81,3794.17,0.6697,Medium
64.07,5.29,7.42,2559.31,0.5027,Low
68.29,5.39,9.82,2031.26,0.5348,Low
80.78,11.38,13.32,14957.96,0.8093,Very High
69.91,4.43,10.63,7989.89,0.6084,Medium
68.46,12.93,19.05,14463.82,0.8133,Very High
54.4,5.3,10.36,19741.39,0.5811,Medium
75.46,9.92,14.64,12908.19,0.7729,High
74.45,7.01,14.54,19106.1,0.7512,High
85.0,9.81,13.81,9232.34,0.7861,High
64.92,6.37,8.0,3019.98,0.5367,Low
70.19,7.51,12.41,28504.41,0.7321,High
70.49,8.12,16.29,5491.12,0.698,Medium
83.77,4.99,6.96,3883.16,0.5801,Medium
67.05,10.22,13.5,8284.01,0.7018,High
70.79,6.46,11.29,3972.65,0.6126,Medium
74.08,7.31,11.21,6519.61,0.663,Medium
69.87,5.02,7.05,13961.43,0.5923,Medium
63.54,0.31,6.56,14021.42,0.4584,Low
69.94,7.43,16.07,4032.61,0.6677,Medium
78.74,15.0,19.39,6077.17,0.8246,Very High
57.73,10.35,12.55,28979.18,0.7012,High
69.33,7.94,8.84,16258.97,0.6679,Medium
61.0,7.21,11.73,78831.27,0.7095,High
79.95,8.07,14.28,32213.09,0.812,Very High
52.77,9.64,14.59,31079.17,0.6823,Medium
62.41,4.46,8.45,2470.39,0.4949,Low
71.77,11.34,14.16,21244.65,0.7923,High
83.66,10.15,11.96,9385.24,0.7666,High
67.34,10.15,15.82,5704.54,0.7021,High
62.45,9.32,15.14,11707.86,0.7004,High
85.0,8.06,8.97,25468.85,0.7567,High
53.52,10.02,17.2,16331.18,0.6855,Medium
46.01,9.78,14.92,4111.43,0.55,Low
72.4,6.94,13.74,20794.81,0.7358,High
62.98,6.28,7.59,5231.29,0.5497,Low
57.79,8.31,9.57,12291.74,0.6121,Medium
75.08,12.65,16.35,7307.45,0.7836,High
70.44,4.28,9.29,7951.64,0.5902,Medium
62.36,3.6,11.19,21295.33,0.6103,Medium
55.2,8.49,13.91,3497.51,0.5795,Medium
76.72,8.15,11.67,69230.38,0.8009,Very High
74.5,8.52,10.47,1601.85,0.5867,Medium
67.01,8.73,15.19,5444.34,0.6778,Medium
85.0,7.33,9.4,14331.45,0.7238,High
57.3,12.47,19.73,17753.08,0.7563,High
52.74,3.2,6.63,8951.03,0.4633,Low
61.08,5.51,12.7,9345.12,0.6148,Medium
67.54,7.69,13.05,14921.38,0.6995,Medium
70.43,3.07,6.8,7855.2,0.53,Low
65.59,7.47,10.43,39862.1,0.6992,Medium
71.52,12.98,16.3,22910.47,0.8322,Very High
55.48,8.06,12.92,23690.38,0.6565,Medium
82.44,8.69,12.85,3766.28,0.6983,Medium
67.18,4.22,7.03,9141.79,0.55,Low
79.17,6.15,9.82,7328.56,0.6559,Medium
71.43,6.87,11.03,3620.61,0.6125,Medium
72.57,7.05,6.79,14188.18,0.6352,Medium
73.7,11.84,16.76,5781.13,0.7581,High
72.48,9.67,11.71,19061.08,0.7458,High
74.43,4.67,6.36,3394.15,0.5291,Low
81.29,8.74,9.36,55217.8,0.7915,High
69.97,9.49,9.91,4038.66,0.6334,Medium
75.09,11.42,12.71,12323.98,0.7676,High
67.1,12.74,15.32,21847.88,0.7945,High
82.4,4.95,12.86,5593.49,0.673,Medium
61.24,5.57,8.52,23213.02,0.604,Medium
85.0,4.23,8.58,2895.22,0.5777,Medium
67.6,7.3,12.1,42282.04,0.7291,High
53.69,9.4,13.66,10038.16,0.63,Medium
69.28,10.96,14.81,5451.19,0.7085,High
61.19,7.77,9.38,7337.98,0.5978,Medium
76.41,7.04,13.94,22223.8,0.7609,High
61.47,8.46,16.07,5516.75,0.6554,Medium
63.54,5.49,6.13,4678.08,0.5161,Low
49.1,14.27,16.22,7930.44,0.6495,Medium
63.48,3.18,6.62,3050.43,0.4642,Low
43.76,8.55,10.63,61116.91,0.5902,Medium
52.16,14.07,19.08,5617.29,0.67,Medium
75.6,8.02,10.56,22734.0,0.7326,High
75.86,7.43,15.76,12203.4,0.7533,High
72.25,6.93,13.31,3697.7,0.641,Medium
58.33,7.46,11.88,9838.37,0.6185,Medium
67.52,12.12,18.17,21676.91,0.8142,Very High
67.96,1.36,7.58,8198.76,0.5009,Low
56.42,12.6,15.47,32634.1,0.7467,High
83.03,3.73,6.1,27488.29,0.6228,Medium
76.77,7.2,11.36,24807.84,0.7393,High
65.79,6.71,12.44,6250.04,0.6303,Medium
68.27,9.77,14.04,3361.55,0.6559,Medium
70.08,3.21,4.05,5358.36,0.4667,Low
47.58,9.39,11.78,12043.03,0.5815,Medium
65.53,14.07,17.92,17082.11,0.8072,Very High
61.18,3.91,7.76,1128.26,0.4313,Low
57.98,8.57,16.51,9817.16,0.6705,Medium
65.19,6.01,7.24,11592.22,0.5853,Medium
85.0,9.28,14.29,7498.48,0.7722,High
74.41,8.06,15.04,35999.99,0.7993,High
62.29,6.08,14.62,15089.89,0.6695,Medium
73.73,9.46,12.65,36687.52,0.7893,High
81.99,13.41,18.4,7974.78,0.8455,Very High
77.25,7.43,12.57,25272.64,0.7601,High
68.6,10.16,14.55,50770.28,0.8055,Very High
61.53,4.12,7.92,36742.65,0.5884,Medium
74.98,5.13,10.0,3320.46,0.5857,Medium
71.93,9.42,8.35,7679.61,0.6589,Medium
76.95,12.45,17.82,7008.19,0.7999,High
74.35,9.07,13.32,16143.21,0.7558,High
78.5,7.06,10.62,19660.24,0.7247,High
62.65,8.0,16.09,4277.43,0.6428,Medium
81.17,4.25,6.9,10591.83,0.6045,Medium
69.98,9.81,13.01,1313.0,0.5905,Medium
85.0,10.65,18.63,41854.1,0.9266,Very High
61.11,6.64,8.98,5929.09,0.5684,Medium
85.0,6.59,9.49,10465.76,0.6976,Medium
69.98,8.8,12.5,7261.56,0.6832,Medium
61.49,6.69,12.37,31133.12,0.6794,Medium
63.16,7.8,12.22,579.69,0.4728,Low
64.8,14.3,15.71,9734.09,0.7578,High
72.24,7.26,10.19,8903.34,0.659,Medium
73.23,6.92,9.71,6287.78,0.6353,Medium
62.26,6.06,9.9,55616.02,0.6665,Medium
67.76,10.23,15.08,4075.18,0.6788,Medium
85.0,7.46,12.29,21413.91,0.782,High
85.0,6.05,6.5,14132.79,0.6588,Medium
72.36,11.96,18.09,34944.6,0.8628,Very High
68.38,12.26,16.76,5078.7,0.7282,High
69.2,6.2,12.97,4755.38,0.6302,Medium
74.14,2.4,7.29,29616.0,0.587,Medium
57.77,11.02,17.23,15143.42,0.7197,High
65.43,5.95,10.88,2111.31,0.5441,Low
51.31,10.37,17.06,5771.54,0.6231,Medium
71.99,2.09,7.13,14565.09,0.5442,Low
74.47,10.68,14.48,22874.18,0.8049,Very High
63.17,4.37,12.91,5017.91,0.5829,Medium
83.74,10.19,15.97,536.86,0.5799,Medium
55.74,8.04,13.19,16700.99,0.6461,Medium
53.36,5.14,6.59,2920.99,0.4525,Low
70.24,6.78,8.2,1316.41,0.515,Low
78.47,10.06,14.64,582.7,0.5622,Medium
84.84,8.32,12.61,22336.58,0.7997,High
63.41,9.75,12.52,11255.56,0.6845,Medium
78.79,13.93,18.21,7897.83,0.8335,Very High
67.61,3.31,10.48,39696.74,0.643,Medium
66.27,12.85,18.24,18719.57,0.8073,Very High
76.84,8.31,10.03,49826.39,0.7697,High
74.52,5.3,9.08,2458.4,0.5584,Medium
52.24,4.01,6.4,9561.02,0.4738,Low
82.77,7.43,10.66,1965.08,0.6182,Medium
81.8,10.76,13.94,7868.46,0.7762,High
61.74,7.62,10.66,7718.57,0.6144,Medium
71.96,12.53,14.02,18520.13,0.7984,High
72.94,3.65,7.39,10358.51,0.5714,Medium
70.61,7.96,10.84,18460.84,0.7032,High
62.5,4.24,2.38,19999.05,0.4772,Low
61.28,9.09,17.2,85385.25,0.7915,High
67.74,10.66,16.84,7220.67,0.7311,High
79.73,6.74,9.99,3862.14,0.6338,Medium
73.44,0.19,4.22,12658.49,0.4204,Low
64.29,8.6,10.25,4436.94,0.6065,Medium
75.72,9.31,16.7,43562.88,0.8477,Very High
40.0,9.21,17.01,7456.06,0.5386,Low
79.49,11.71,16.02,5621.89,0.7749,High
50.6,4.79,10.83,6177.59,0.5131,Low
64.38,10.04,14.39,20300.84,0.7383,High
56.8,11.58,12.9,8452.8,0.6561,Medium
55.05,2.66,5.84,5209.99,0.4324,Low
79.61,8.96,13.22,52331.4,0.8328,Very High
63.32,6.49,9.58,4204.16,0.5662,Medium
71.47,7.76,11.32,10255.47,0.682,Medium
67.53,9.04,12.86,19002.13,0.7254,High
72.77,6.54,10.38,1936.55,0.5687,Medium
68.77,5.97,10.08,15998.66,0.6507,Medium
55.17,8.1,9.98,3445.73,0.541,Low
77.96,4.74,7.3,22534.05,0.641,Medium
63.06,4.74,6.17,3779.51,0.493,Low
52.43,10.04,15.99,19786.77,0.6771,Medium
63.72,4.55,4.34,29906.56,0.5404,Low
83.01,10.0,16.31,23422.13,0.8564,Very High
76.5,9.39,16.16,12724.91,0.7856,High
64.51,2.82,6.22,7853.38,0.4938,Low
64.51,5.97,4.76,5561.26,0.5163,Low
64.78,11.58,14.86,43089.5,0.796,High
85.0,5.06,8.93,4917.25,0.6258,Medium
71.82,6.61,8.59,3508.47,0.5814,Medium
72.3,9.39,12.36,19251.98,0.7486,High
78.3,10.35,17.41,4464.28,0.7527,High
70.39,7.25,12.58,3827.38,0.6318,Medium
65.41,6.21,8.36,2336.47,0.5266,Low
66.04,12.27,13.07,6106.38,0.6977,Medium
67.28,13.22,16.56,9111.43,0.7643,High
67.63,10.94,14.51,12620.68,0.7435,High
75.28,8.26,13.25,25624.55,0.771,High
68.52,5.58,8.5,16762.47,0.6247,Medium
75.33,5.51,10.53,8177.39,0.646,Medium
67.19,9.57,17.44,8117.72,0.729,High
68.79,9.26,14.89,16484.2,0.7476,High
48.02,12.2,16.11,35332.91,0.6885,Medium
77.16,9.95,13.59,11229.66,0.7633,High
71.46,3.49,6.78,6191.11,0.5317,Low
77.98,11.16,17.52,3667.02,0.7469,High
40.0,5.01,7.75,2332.73,0.3825,Low
85.0,6.85,10.94,19269.32,0.7506,High
